"CREDAT","MESTYP","IDOCTP","STATUS","DIRECT","RCVPOR","RCVPRT","RCVPRN","RECEIVER","SNDPOR","SNDPRT","SNDPRN","SENDER","DOCCOUNT"
1-10-2013,"DESADV","DELVRY03","52",2,"SAPJP2","LS","JCCAR3P400","SAPJP2","SAPRPE","LS","SP2CLNT050","SP2CLNT050",1
1-10-2013,"DESADV","DESADV01","16",1,"SAPT02","KU","0000000329","Customer","SAPJP2","LS","0000001000","SAPJP2",3
1-10-2013,"DESADV","DESADV01","16",1,"SAPT02","KU","0000200015","Customer","SAPJP2","LS","0000001000","SAPJP2",20
1-10-2013,"INVOIC","INVOIC01","51",2,"SAPJP2","LS","JCCAR3P400","SAPJP2","SAPRPE","LS","SP2CLNT050","SP2CLNT050",8
1-10-2013,"INVOIC","INVOIC01","53",2,"SAPJP2","KU","0000002371","SAPJP2","A000000008","LI","0000650008","Vendor",59
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000000016","Customer","SAPJP2","LS","0000001000","SAPJP2",1
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000000309","Customer","SAPJP2","LS","0000001000","SAPJP2",13
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000000309","Customer","SAPJP2","LS","0000003000","SAPJP2",6
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000001298","Customer","SAPJP2","LS","0000003000","SAPJP2",2
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000001311","Customer","SAPJP2","LS","0000001000","SAPJP2",1
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000001479","Customer","SAPJP2","LS","0000001000","SAPJP2",1
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000001538","Customer","SAPJP2","LS","0000001000","SAPJP2",1
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000003118","Customer","SAPJP2","LS","0000001000","SAPJP2",1
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000003136","Customer","SAPJP2","LS","0000003000","SAPJP2",1
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000200013","Customer","SAPJP2","LS","0000003000","SAPJP2",22
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000200015","Customer","SAPJP2","LS","0000001000","SAPJP2",29
1-10-2013,"INVOIC","INVOIC02","16",1,"SAPT02","KU","0000200015","Customer","SAPJP2","LS","0000003000","SAPJP2",1
1-10-2013,"MATMAS","MATMAS05","03",1,"XPNCLNT200","LS","XPNCLNT200","MDMXIPRODUCTIONSYSTEM","SAPJP2","LS","JJCDNAF400","MDMXIPRODUCTIONSYSTEM",3
1-10-2013,"ORDERS","ORDERS03","16",1,"SAPT02","LI","0002000110","Vendor","SAPJP2","LS","0000003000","SAPJP2",6
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000000016","Customer",2
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000000309","Customer",15
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000000315","Customer",3
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000000329","Customer",2
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000001311","Customer",2
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000001422","Customer",3
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000001000","SAPJP2","SAPJP2","KU","0000200015","Customer",15
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000003000","SAPJP2","SAPJPD","KU","0000001306","Customer",1
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000000016","Customer",6
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000000256","Customer",1
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000000309","Customer",41
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000000329","Customer",3
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000001297","Customer",2
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000001298","Customer",7
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000001311","Customer",11
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000001313","Customer",1
1-10-2013,"ORDERS","ORDERS03","53",2,"SAPJP2","LI","0000005000","SAPJP2","SAPJP2","KU","0000001320","Customer",27
