po_count,companycode,purchaseorg,purchasegroup,materialid,plantgroup,materialgroup,orderquantity,netprice,grossordervalue,vendor,source,lastchangedon,material_type,vendor_type,po_type
145,3280,4000,1,47600,4000,JJ203,939600,0,0,2000352,SAP,1/9/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,438480,0,0,2000352,SAP,1/9/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,135720,0,0,2000352,SAP,1/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,459360,0,0,2000352,SAP,1/30/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,709920,0,0,2000352,SAP,2/25/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,396720,0,0,2000352,SAP,2/27/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,469800,0,0,2000352,SAP,4/2/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,876960,0,0,2000352,SAP,4/2/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,668160,0,0,2000352,SAP,4/24/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,605520,0,0,2000352,SAP,4/29/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,929160,0,0,2000352,SAP,5/27/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,991800,0,0,2000352,SAP,5/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,636840,0,0,2000352,SAP,7/2/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,814320,0,0,2000352,SAP,7/3/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,511560,0,0,2000352,SAP,7/29/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,522000,0,0,2000352,SAP,7/31/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,960480,0,0,2000352,SAP,8/23/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,657720,0,0,2000352,SAP,8/27/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,375840,0,0,2000352,SAP,9/30/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,929160,0,0,2000352,SAP,10/31/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
145,3280,4000,1,47600,4000,JJ203,615960,0,0,2000352,SAP,11/21/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,58000,0,0,2000352,SAP,1/9/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,255200,0,0,2000352,SAP,1/9/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,34800,0,0,2000352,SAP,1/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,139200,0,0,2000352,SAP,1/30/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,197200,0,0,2000352,SAP,2/25/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,150800,0,0,2000352,SAP,2/27/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,34800,0,0,2000352,SAP,4/2/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,116000,0,0,2000352,SAP,4/24/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,46400,0,0,2000352,SAP,4/29/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,92800,0,0,2000352,SAP,5/27/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,197200,0,0,2000352,SAP,5/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,69600,0,0,2000352,SAP,7/2/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,81200,0,0,2000352,SAP,7/3/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,150800,0,0,2000352,SAP,7/29/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,313200,0,0,2000352,SAP,7/31/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,34800,0,0,2000352,SAP,8/23/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,81200,0,0,2000352,SAP,8/27/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,23200,0,0,2000352,SAP,9/30/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,41412,1.16,414.12,2000352,SAP,10/31/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
116,3280,4000,1,52070,4000,JJ203,69600,0,0,2000352,SAP,11/21/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,551232,0,0,2000350,SAP,1/7/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,266046,0,0,2000350,SAP,1/9/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,356004,0,0,2000350,SAP,2/2/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,178002,0,0,2000350,SAP,2/25/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,135894,0,0,2000350,SAP,4/2/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,249777,0,0,2000350,SAP,4/3/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,373230,0,0,2000350,SAP,4/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,218196,0,0,2000350,SAP,5/6/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,269874,0,0,2000350,SAP,5/29/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,436392,0,0,2000350,SAP,5/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,57420,0,0,2000350,SAP,7/2/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,275616,0,0,2000350,SAP,7/3/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,212454,0,0,2000350,SAP,7/25/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,178002,0,0,2000350,SAP,8/2/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,206712,0,0,2000350,SAP,8/23/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,120582,0,0,2000350,SAP,10/2/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,143550,0,0,2000350,SAP,10/31/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
87,3280,4000,1,54800,4000,JJ205,430650,0,0,2000350,SAP,11/28/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,2373000,0,0,2000352,SAP,1/9/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,1228500,0,0,2000352,SAP,1/9/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,1228500,0,0,2000352,SAP,1/30/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,1134000,0,0,2000352,SAP,1/30/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,1858500,0,0,2000352,SAP,2/25/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,1186500,0,0,2000352,SAP,2/27/2012,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
175,3280,4000,1,72214,4000,JJ205,189000,0,0,2000352,SAP,3/28/2013,FINISHED GOODS,EXTERNAL VENDOR,SUB CONTRACTING
