"PO_COUNT","companycode","PO_Org","PO_Grp","material_no","Plant","MaterialGrp","Quantity","NetPrice","GrossValue","Vendor","source","type","created_date"
1,"3280","4000","001","00039748","4000","JJ202",1320.00,0.00,0.00,"0002000352",,,"2008.01.04"
1,"3280","4000","001","00039748","4000","JJ202",840.00,0.00,0.00,"0002000352",,,"2008.02.14"
1,"3280","4000","001","00039748","4000","JJ202",2760.00,0.00,0.00,"0002000352",,,"2008.03.24"
1,"3280","4000","001","00039748","4000","JJ202",2760.00,0.00,0.00,"0002000352",,,"2008.04.21"
1,"3280","4000","001","00039748","4000","JJ202",1980.00,0.00,0.00,"0002000352",,,"2008.05.27"
1,"3280","4000","001","00039748","4000","JJ202",1920.00,0.01,19.20,"0002000352",,,"2008.06.23"
1,"3280","4000","001","00039748","4000","JJ202",360.00,0.00,0.00,"0002000352",,,"2008.07.30"
1,"3280","4000","001","00039748","4000","JJ202",2160.00,0.00,0.00,"0002000352",,,"2008.08.22"
1,"3280","4000","001","00039748","4000","JJ202",2160.00,0.00,0.00,"0002000352",,,"2008.09.19"
1,"3280","4000","001","00039759","4000","JJ202",1760.00,0.00,0.00,"0002000352",,,"2008.01.04"
1,"3280","4000","001","00039759","4000","JJ202",2420.00,0.00,0.00,"0002000352",,,"2008.01.24"
1,"3280","4000","001","00039759","4000","JJ202",1980.00,0.00,0.00,"0002000352",,,"2008.02.14"
1,"3280","4000","001","00039759","4000","JJ202",1210.00,0.00,0.00,"0002000352",,,"2008.03.24"
1,"3280","4000","001","00039759","4000","JJ202",880.00,0.00,0.00,"0002000352",,,"2008.04.21"
1,"3280","4000","001","00039759","4000","JJ202",330.00,0.00,0.00,"0002000352",,,"2008.05.27"
1,"3280","4000","001","00039759","4000","JJ202",2090.00,0.00,0.00,"0002000352",,,"2008.06.23"
1,"3280","4000","001","00039759","4000","JJ202",220.00,0.00,0.00,"0002000352",,,"2008.07.30"
1,"3280","4000","001","00039759","4000","JJ202",990.00,0.00,0.00,"0002000352",,,"2008.08.22"
1,"3280","4000","001","00039759","4000","JJ202",1650.00,0.00,0.00,"0002000352",,,"2008.09.19"
2,"3280","4000","001","00046500","4000","JJ201",4256.00,0.00,0.00,"0002000351",,,"2008.01.18"
1,"3280","4000","001","00046500","4000","JJ201",448.00,0.00,0.00,"0002000351",,,"2008.02.12"
